Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024aqeu,2024-01-09T20:35:23.785351Z,2.099080324,97.78184509,3.111056422,MLv,30,28,121.0635376,"Northern Sumatra, Indonesia",BMKG
bmg2024aqdj,2024-01-09T19:53:07.197681Z,1.044344425,99.77291107,2.727845583,MLv,10,23,105.3346109,"Northern Sumatra, Indonesia",BMKG
bmg2024aqah,2024-01-09T18:18:56.110997Z,1.048913002,99.76322937,2.49045628,MLv,10,18,120.8913803,"Northern Sumatra, Indonesia",BMKG
bmg2024apvl,2024-01-09T15:52:38.192979Z,-2.543029547,102.2458038,3.225878577,MLv,10,23,84.36257935,"Southern Sumatra, Indonesia",BMKG
bmg2024apqr,2024-01-09T13:27:28.619874Z,2.062039614,98.93453217,3.401875376,MLv,123,50,82.22915888,"Northern Sumatra, Indonesia",BMKG
bmg2024apnm,2024-01-09T11:50:58.281521Z,-6.121668816,103.8892975,4.325601867,MLv,23,37,213.3488464,"Southwest of Sumatra, Indonesia",BMKG
bmg2024apge,2024-01-09T08:09:01.914289Z,-0.2412089556,100.3671341,2.51817852,MLv,10,18,110.5460968,"Southern Sumatra, Indonesia",BMKG
bmg2024apep,2024-01-09T07:21:35.167815Z,1.403775811,98.93968201,3.524126736,MLv,82,44,49.10917664,"Northern Sumatra, Indonesia",BMKG
bmg2024aozl,2024-01-09T04:45:10.392503Z,0.1901182085,96.64126587,5.089367783,M,28,178,199.5493774,Off West Coast of Northern Sumatra,BMKG
bmg2024aolw,2024-01-08T21:54:30.331557Z,0.610901475,97.91390228,3.48048566,MLv,10,36,96.06016541,"Northern Sumatra, Indonesia",BMKG
bmg2024aohc,2024-01-08T19:29:48.096762Z,-4.886058331,102.8727417,2.683758307,MLv,26,20,241.2915039,"Southern Sumatra, Indonesia",BMKG
bmg2024aogw,2024-01-08T19:22:34.447638Z,0.2388968617,96.78717041,3.200056194,MLv,10,26,245.6634541,Off West Coast of Northern Sumatra,BMKG
bmg2024anoa,2024-01-08T09:51:32.59288Z,-2.272507668,99.64677429,5.073051647,M,29,147,170.4778137,"Southern Sumatra, Indonesia",BMKG
